ref_sothebys,pagina,descripcion_sothebys,estimacion,codigo_actual,estado,notas
132,64,Twelve Italian menu holders formed as coins and other markers.,"$840 - $1,120",265A-1; 265A-2,confirmado,Un item con dos imagenes
136,65,A pair of electroplated rose bowls in the 18th century style.,$350 - $490,309A-1,confirmado,
147,67,"A Sheffield plate double inkstand, circa 1780.",$280 - $420,177A-1,confirmado,
149,68,"A pair of Indian silver ashtrays with rupee coins, 20th century.",$110 - $165,178BD-1,confirmado,
154,69,"A pair of French silver sauceboats by Veyrat, 19th century, with elephant finials.","$2,100 - $2,800",174A-1,confirmado,
193,80,"A pair of Continental porcelain models of parrots, 19th/20th century.",$350 - $490,60A-1,confirmado,
194,81,A 316-piece armorial glass service with the Pignatelli coat of arms.,"$16,800 - $25,200",44AA-1,confirmado,
194,81,A 316-piece armorial glass service with the Pignatelli coat of arms — Adriano Pignatelli porta una parte del juego,-,44AAA-1,confirmado,Referencia compartida con 44AAB (Diego) — valor total asignado a Diego
194,81,A 316-piece armorial glass service with the Pignatelli coat of arms — juego dividido con Adriano Pignatelli.,"$16,800 - $25,200",44AAB-1,confirmado,Valor total del juego Ref.194 — Adriano porta parte del mismo conjunto
207,87,"A set of four decanters with gilt vines, 19th century.",$350 - $490,195A-1,confirmado,
212,89,"A pair of famille-rose vases, 20th century.",$140 - $280,16AE-1,confirmado,
213,89,"A Canton famille-rose vase, early 20th century.",$280 - $420,79A-1,confirmado,
214,90,"A large wood table with corner legs, 20th century.","$2,800 - $4,200",6A-1,confirmado,
217,90,"Nineteen figures of Shou Lao on horseback, late 20th century.",$280 - $420,7AA-1; 7AA-2,confirmado,Dos imagenes validas; 7AB-1 excluida
218,90,"Seven wood ruyi sceptres with hardstone inlay, 20th century.",$420 - $700,295A-1,confirmado,
220,91,An octagonal famille-rose bowl with Xianfeng seal mark.,$280 - $420,136CA-1; 136CA-2; 136CA-3,confirmado,
222,92,"A pair of famille-rose baluster vases and covers, late 19th century.",$140 - $280,2AB-1,confirmado,
223,92,Referencia adicional confirmada manualmente.,"$280 - $420", 16AC-1; 16AC-2,confirmado,Incorporada por confirmacion manual
224,92,Referencia adicional confirmada manualmente.,"$7,000 - $9,800",8A-1,confirmado,Incorporada por confirmacion manual
227,93,"Three soapstone pagodas, 20th century.",$560 - $840,58A-1,confirmado,
228,94,"A pair of red lacquer dishes, circa 1900.",$420 - $700,94A-1,confirmado,
229,94,"A large famille-verte dish, Kangxi period.","$840 - $1,120",91A-1,confirmado,
234,95,"A rose quartz buffalo, 20th century.",$140 - $280,271A-1,confirmado,
235,95,"An agate group of a maiden and monkey, 20th century.",$210 - $350,272A-1,confirmado,
239,99,"A pair of Japanese Arita jars and covers, 17th century.","$8,400 - $11,200",5A-1,confirmado,
248,103,"Japanese, circa 1900. Woman with a Monkey. Bronze, 43 cm.",$420 - $700,34A-1,confirmado,
(Varios),1,Pareja de urnas de mármol negro y latón.,-,33AB-1,confirmado,Sin numero Sotheby's
(Varios),1,Faroles (Lanterns).,$120,131A-1,confirmado,Sin numero Sotheby's
(Sin codigo),-,Mesa de centro panel laca china.,-,110A-1,confirmado,Sin codigo en Sotheby's
(Sin codigo),-,Chinese lacquered centre table.,"$1,716",124A-1,confirmado,Convertido de £1200 GBP al tipo de cambio enero 2016 (1.43)
Busto Pignatelli,-,Busto de bronce.,"$7,150",260A-1,confirmado,Convertido de £5000 GBP al tipo de cambio enero 2016 (1.43)
